name,son,voc,cons,cor,ant,high,low,back,md,tns,nsl,ltr,cont,drls,vcd
и,+,+,-,None,None,+,-,-,-,+,None,None,None,None,None
ы,+,+,-,None,None,+,-,+,-,+,None,None,None,None,None
е,+,+,-,None,None,-,-,-,-,+,None,None,None,None,None
э,+,+,-,None,None,-,-,+,-,+,None,None,None,None,None
ä,+,+,-,None,None,-,+,-,-,+,None,None,None,None,None
а,+,+,-,None,None,-,+,+,-,+,None,None,None,None,None
у,+,+,-,None,None,+,-,+,+,+,None,None,None,None,None
у_1,+,+,-,None,None,+,-,-,+,+,None,None,None,None,None
о,+,+,-,None,None,-,-,+,+,+,None,None,None,None,None
ъ,+,+,-,None,None,-,-,+,-,-,None,None,None,None,None
ь,+,+,-,None,None,-,-,-,-,-,None,None,None,None,None
ṷ,+,-,-,-,-,None,None,-,None,None,-,-,+,None,None
ў,+,-,-,-,+,None,None,+,None,None,-,-,+,None,None
п,-,-,+,-,+,None,None,+,None,None,-,-,-,-,-
п’,-,-,+,-,+,None,None,-,None,None,-,-,-,-,-
б,-,-,+,-,+,None,None,+,None,None,-,-,-,-,+
б’,-,-,+,-,+,None,None,-,None,None,-,-,-,-,+
ф,-,-,+,-,+,None,None,+,None,None,-,-,+,None,-
ф’,-,-,+,-,+,None,None,-,None,None,-,-,+,None,-
в,-,None,+,-,+,None,None,+,None,None,-,-,+,None,+
в’,-,None,+,-,+,None,None,-,None,None,-,-,+,None,+
м,+,-,+,-,+,None,None,+,None,None,+,-,-,-,None
м’,+,-,+,-,+,None,None,-,None,None,+,-,-,-,None
т,-,-,+,+,+,None,None,+,None,None,-,-,-,-,-
т’,-,-,+,+,+,None,None,-,None,None,-,-,-,-,-
д,-,-,+,+,+,None,None,+,None,None,-,-,-,-,+
д’,-,-,+,+,+,None,None,-,None,None,-,-,-,-,+
с,-,-,+,+,+,None,None,+,None,None,-,-,+,None,-
с’,-,-,+,+,+,None,None,-,None,None,-,-,+,None,-
з,-,-,+,+,+,None,None,+,None,None,-,-,+,None,+
з’,-,-,+,+,+,None,None,-,None,None,-,-,+,None,+
н,+,-,+,+,+,None,None,+,None,None,+,-,-,-,None
н’,+,-,+,+,+,None,None,-,None,None,+,-,-,-,None
л,+,+,+,+,+,None,None,+,None,None,-,+,None,None,None
л’,+,+,+,+,+,None,None,-,None,None,-,+,None,None,None
ц,-,-,+,+,+,None,None,+,None,None,-,-,-,+,-
дз,-,-,+,+,+,None,None,+,None,None,-,-,-,+,+
ш,-,-,+,+,-,None,None,+,None,None,-,-,+,None,-
ш’,-,-,+,+,-,None,None,-,None,None,-,-,+,None,-
ж,-,-,+,+,-,None,None,+,None,None,-,-,+,None,+
ж’,-,-,+,+,-,None,None,-,None,None,-,-,+,None,+
ч’,-,-,+,+,-,None,None,-,None,None,-,-,-,+,-
дж’,-,-,+,+,-,None,None,-,None,None,-,-,-,+,+
р,+,+,+,+,-,None,None,+,None,None,-,-,-,-,None
р’,+,+,+,+,-,None,None,-,None,None,-,-,-,-,None
j,+,-,+,-,-,None,None,-,None,None,-,-,+,None,None
к,-,-,+,-,-,None,None,+,None,None,-,-,-,-,-
к’,-,-,+,-,-,None,None,-,None,None,-,-,-,-,-
г,-,-,+,-,-,None,None,+,None,None,-,-,-,-,+
г’,-,-,+,-,-,None,None,-,None,None,-,-,-,-,+
х,-,-,+,-,-,None,None,+,None,None,-,-,+,None,-
х’,-,-,+,-,-,None,None,-,None,None,-,-,+,None,-
ɣ,-,-,+,-,-,None,None,+,None,None,-,-,+,None,+
ŋ,+,-,+,-,-,None,None,+,None,None,+,-,-,-,None
